Items;AoA;SubjectiveFrequency;Imageability;NumberOfLetters;NumberOfPhonemes;NumberOfSyllables;NumberOfNeighbors;ObjectiveFrequency;MeanBigramFrequency;TypeOfAcronyms;VoicedFeature;RT_ms
NDLR;4.82;4.15;2.63;4;8;4;0;213000;3116;Typ non ambig;voiced;1034
NSA;4.89;2.21;2.15;3;5;3;2;2770000;5889;Typ ambi;voiced;930
OCB;4.47;3.4;3.86;3;5;3;1;834000;1252;Typ ambi;voiced;706
OCDE;4.88;3.68;2.00;4;6;4;1;287000;8313;Typ ambi;voiced;847
OGM;3.77;4.85;3.71;3;5;3;0;1070000;1179;Typ ambi;voiced;727
OL;3.76;3.84;3.57;2;3;2;3;46800000;2694;Typ ambi;voiced;711
OM;3.1;4.63;4.36;2;3;2;3;128000000;2480;Typ ambi;voiced;642
OMC;4.65;4.15;3.16;3;5;3;0;1840000;1838;Typ ambi;voiced;773
OMS;4.3;4.11;2.68;3;5;3;1;1870000;13195;Typ ambi;voiced;662
ONF;4.47;2.74;2.15;3;5;3;1;354000;6434;Typ ambi;voiced;722
ONG;4.05;4.58;4.1;3;5;3;1;11000000;6690;Typ ambi;voiced;724
ONISEP;4.14;4.45;3.68;6;6;3;0;193000;8404;Atyp Ambig;voiced;826
ONU;3.95;4.89;4.36;3;4;3;4;1870000;6447;Atyp Ambig;voiced;698
OPAC;4.74;2.4;3.2;4;4;2;0;1330000;2979;Atyp Ambig;voiced;685
ORL;4.4;4.9;4.05;3;5;3;1;1950000;2858;Typ ambi;voiced;685
OTAN;4.27;4.42;3.95;4;3;2;2;773000;7232;Atyp Ambig;voiced;718
PAC;4.63;2.84;2.3;3;5;1;2;16800000;5709;Atyp Ambig;unvoiced;784
PACA;4.05;4.75;3.57;4;4;2;0;1270000;6687;Atyp Ambig;unvoiced;898
PACS;4.59;4.79;3.36;4;4;1;1;3680000;13662;Atyp Ambig;unvoiced;931
PC;2.91;4.68;4.77;2;4;2;1;2780000;4297;Typ non ambig;unvoiced;699
PCF;4.69;3.37;2.75;3;6;3;1;831000;3289;Typ non ambig;unvoiced;832
PDG;3.9;4.75;4.36;3;6;3;0;1810000;3223;Typ non ambig;unvoiced;757
PIB;3.95;4.8;3.73;3;5;3;1;1090000;4330;Typ ambi;unvoiced;816
PIN;4.05;4.58;3.43;3;3;1;2;99800000;8431;Atyp Ambig;unvoiced;1014
PJ;4.35;4.53;3.05;2;4;2;1;22100000;4213;Typ non ambig;unvoiced;734
PME;4.5;4.8;3.76;3;5;3;1;2580000;13128;Typ ambi;unvoiced;714
PMI;4.55;4.2;2.43;3;5;3;2;5560000;5085;Typ ambi;unvoiced;722
PMU;3.64;4.7;4.68;3;5;3;2;1060000;3707;Typ ambi;unvoiced;720
PNB;4.57;4.5;2.95;3;6;3;0;1190000;3193;Typ non ambig;unvoiced;706
PS;3.55;4.74;4.1;2;4;2;1;112000000;19511;Typ non ambig;unvoiced;700
PSG;3.32;4.9;4.14;3;6;3;0;7020000;3308;Typ non ambig;unvoiced;780
PTDR;4.14;4.47;4.23;4;8;4;0;189000;4785;Typ non ambig;unvoiced;774
PTT;4.4;3.7;1.95;3;6;3;0;2450000;10763;Typ non ambig;unvoiced;785
PV;3.00;4.95;4.55;2;2;2;1;25300000;4214;Typ non ambig;unvoiced;703
PVC;3.91;4.32;4.00;3;6;3;1;14800000;3222;Typ non ambig;unvoiced;726
QCM;3.73;4.95;4.86;3;6;3;1;817000;233;Typ non ambig;unvoiced;887
QG;3.05;4.7;3.68;2;4;2;2;9880000;268;Typ non ambig;unvoiced;876
RAI;4.92;2.32;1.47;3;4;3;4;14600000;14590;Typ ambi;voiced;1032
RAID;4.3;3.63;3.19;4;3;1;3;17800000;11536;Atyp Ambig;voiced;890
RAM;4.4;2.95;1.85;3;3;1;1;57600000;9454;Atyp Ambig;voiced;851
RAS;3.73;4.58;3.00;3;5;3;2;8730000;21389;Typ ambi;voiced;799
RASED;4.53;2.95;1.68;5;5;2;2;104000;8687;Atyp Ambig;voiced;956
RATP;4.14;4.58;3.85;4;7;4;2;224000;8497;Typ ambi;voiced;885
RDA;4.73;4.25;2.9;3;5;3;2;1580000;5805;Typ ambi;voiced;714
RDC;3.65;4.7;3.05;3;6;3;1;3500000;4032;Typ non ambig;voiced;788
RDV;2.82;4.95;3.95;3;6;3;0;2530000;3976;Typ non ambig;voiced;795
RER;3.09;5.00;4.57;3;5;3;2;2710000;15736;Typ ambi;voiced;736
RFA;4.7;3.58;3.1;3;5;3;2;1230000;5029;Typ ambi;voiced;710
RG;4.69;2.21;1.89;2;4;2;1;24500000;4863;Typ non ambig;voiced;722
RIB;4.41;4.85;4.36;3;3;1;1;6770000;6493;Atyp Ambig;voiced;968
RMC;4.38;4.16;3.41;3;6;3;0;1810000;3747;Typ non ambig;voiced;736
RMI;4.33;4.8;3.64;3;5;3;2;1290000;5610;Typ ambi;voiced;680
RN;4.13;3.25;1.95;2;4;2;1;29000000;6251;Typ non ambig;voiced;692
ROR;4.57;2.58;1.89;3;5;3;1;1870000;9651;Typ ambi;voiced;914
RPR;4.6;3.32;2.26;3;6;3;0;948000;6750;Typ non ambig;voiced;876
RSA;4.52;4.58;3.5;3;5;3;2;4460000;7059;Typ ambi;voiced;684
RSI;4.78;2.5;2.35;3;5;3;2;2590000;6209;Typ ambi;voiced;711
RTL;3.23;4.74;4.48;3;6;3;0;1900000;4359;Typ non ambig;voiced;681
RTT;4.18;4.9;3.09;3;6;3;0;1180000;11366;Typ non ambig;voiced;767
SA;4.39;3.26;2.79;2;3;2;3;188000000;7134;Typ ambi;unvoiced;784
SAMU;2.73;4.89;4.71;4;4;2;0;663000;4425;Atyp Ambig;unvoiced;799
SARL;4.36;3.75;3.05;4;7;4;1;1110000;5575;Typ ambi;unvoiced;922
SAS;4.56;2.6;2.35;2;5;3;2;18700000;17004;Typ ambi;unvoiced;862
SAV;3.73;4.4;4.32;3;5;3;1;3380000;4620;Typ ambi;unvoiced;821
SDF;3.05;5.00;4.55;3;6;3;0;1910000;2499;Typ non ambig;unvoiced;702
SDN;4.72;2.26;1.89;3;6;3;0;6880000;3455;Typ non ambig;unvoiced;803
SFR;3.59;4.85;4.57;3;6;3;0;2980000;5018;Typ non ambig;unvoiced;712
SICTOM;4.47;2.65;2.06;6;6;2;0;30400;4398;Atyp Ambig;unvoiced;1216
SIDA;3.38;4.89;4.41;4;4;2;0;2280000;4798;Atyp Ambig;unvoiced;900
SMEREB;4.86;4.47;3.68;6;6;2;0;1650;8656;Atyp Ambig;unvoiced;1054
SMIC;3.91;5.00;4.1;4;4;1;1;243000;3781;Atyp Ambig;unvoiced;861
SMS;3.55;5.00;4.82;3;6;3;0;143000000;13997;Typ non ambig;unvoiced;713
SNCF;2.71;5.00;4.91;4;8;4;0;2040000;2984;Typ non ambig;unvoiced;805
SNCM;4.56;2.05;2.05;4;8;4;0;80800;2950;Typ non ambig;unvoiced;1155
SOS;2.27;4.63;4.57;3;5;3;1;17700000;15543;Typ ambi;unvoiced;725
SPA;2.73;4.58;4.77;3;5;3;2;85300000;5338;Typ ambi;unvoiced;811
SRPJ;4.63;2.35;1.79;4;8;4;0;20600;2042;Typ non ambig;unvoiced;997
SS;4.1;3.95;3.62;2;4;2;1;84300000;21513;Typ non ambig;unvoiced;761
STAPS;4.82;4.47;4.32;5;5;1;0;180000;12318;Atyp Ambig;unvoiced;816
STP;3.05;4.32;4.05;3;6;3;0;3820000;4075;Typ non ambig;unvoiced;782
SUAPS;5.00;2.79;3.05;5;5;1;0;24300;10696;Atyp Ambig;unvoiced;939
SVP;2.71;4.95;4.33;3;6;3;0;6420000;2402;Typ non ambig;unvoiced;821
SVT;3.5;4.58;4.5;3;6;3;0;1180000;8866;Typ non ambig;unvoiced;779
TC;4.5;2.74;1.8;2;4;2;2;39500000;2386;Typ non ambig;unvoiced;703
TD;4.55;4.68;4.36;2;4;2;2;55400000;2485;Typ non ambig;unvoiced;687
TER;3.41;5.00;4.68;3;5;3;2;21000000;13266;Typ ambi;unvoiced;731
TGV;2.68;5.00;4.82;3;6;3;0;1200000;1697;Typ non ambig;unvoiced;749
TIP;4.87;3.1;2.43;3;3;1;0;97200000;5295;Atyp Ambig;unvoiced;973
TNT;4.00;4.58;4.05;3;6;3;0;13800000;15619;Typ non ambig;unvoiced;706
TOC;3.27;4.55;3.86;3;3;1;1;10300000;3490;Atyp Ambig;unvoiced;736
TOM;4.00;4.5;2.86;3;3;1;1;113000000;4050;Atyp Ambig;unvoiced;843
TP;3.85;4.6;4.23;2;4;2;1;50000000;2300;Typ non ambig;unvoiced;712
TS;4.67;2.4;2.05;2;4;2;2;62400000;18460;Typ non ambig;unvoiced;723
TSF;4.8;2.25;1.95;3;6;3;0;920000;2621;Typ non ambig;unvoiced;813
TTC;3.86;4.9;3.41;3;6;3;0;8610000;2643;Typ non ambig;unvoiced;702
TV;1.77;4.74;5.00;2;4;2;2;616000000;2261;Typ non ambig;unvoiced;721
TVA;3.27;4.95;3.5;3;5;3;2;3080000;3637;Typ ambi;unvoiced;748
UCPA;4.76;3.1;1.68;4;6;4;0;124000;2532;Typ ambi;voiced;986
UDF;4.81;2.8;2.32;3;5;3;0;871000;569;Typ ambi;voiced;735
UE;3.5;4.79;4.27;2;2;2;3;12500000;13253;Typ ambi;voiced;705
UEFA;4.47;3.65;2.89;4;5;4;0;7380000;3181;Typ ambi;voiced;914
UFC;4.75;4.32;2.65;3;5;3;0;14700000;406;Typ ambi;voiced;831
UFR;4.82;4.7;4.23;3;5;3;0;554000;2955;Typ ambi;voiced;738
ULM;4.00;4.13;3.65;3;5;3;0;2340000;1330;Typ ambi;voiced;754
UMP;4.32;4.95;4.38;3;5;3;0;1290000;1449;Typ ambi;voiced;676
UNEF;4.65;3.26;2.24;4;4;2;2;88600;2219;Atyp Ambig;voiced;877
UNESCO;4.23;4.8;3.55;6;6;3;0;4850000;6899;Atyp Ambig;voiced;817
UNICEF;4.1;4.47;4.52;6;6;3;0;2890000;2294;Atyp Ambig;voiced;834
UNSS;4.00;2.89;3.9;4;7;4;1;190000;13217;Typ ambi;voiced;807
URSAFF;4.9;4.05;2.45;6;5;2;0;196000;13858;Atyp Ambig;voiced;879
URSS;3.68;4.9;4.18;4;7;4;0;1090000;4627;Typ ambi;voiced;852
USA;3.09;4.9;4.77;3;4;3;2;297000000;4542;Typ ambi;voiced;726
USB;3.55;5.00;4.73;3;5;3;1;53300000;1589;Typ ambi;voiced;700
UV;3.6;4.9;3.95;2;3;2;2;34200000;589;Typ ambi;voiced;689
UVA;4.67;3.47;2.53;3;4;3;1;6300000;2383;Typ ambi;voiced;817
VHS;2.86;4.5;3.71;3;6;3;0;12400000;12237;Typ non ambig;voiced;786
VIH;3.95;4.84;4.32;3;5;3;0;1750000;1687;Typ ambi;voiced;783
VIP;3.24;4.89;4.32;3;5;3;0;75500000;1979;Typ ambi;voiced;848
VL;4.44;2.35;1.74;2;4;2;2;15700000;1554;Typ non ambig;voiced;710
VMC;4.28;3.74;2.74;3;6;3;0;1260000;896;Typ non ambig;voiced;813
VO;4.00;5.00;3.43;2;3;2;3;24200000;1971;Typ ambi;voiced;731
VRP;4.65;2.74;2.26;3;6;3;0;435000;1251;Typ non ambig;voiced;808
VS;3.61;3.4;2.67;2;4;2;2;282000000;1191;Typ non ambig;voiced;755
VSD;4.67;2.8;2.53;3;6;3;0;890000;1008;Typ non ambig;voiced;812
VSL;4.67;2.68;2.21;3;6;3;0;615000;16301;Typ non ambig;voiced;774
VTT;2.05;4.95;4.73;3;6;3;0;1640000;8181;Typ non ambig;voiced;703
WASP;4.74;2.1;2.26;4;4;1;0;3560000;1604;Atyp Ambig;voiced;1038
WC;1.67;5.00;5.00;2;4;2;2;27800000;117;Typ non ambig;voiced;894
WIFI;4.14;4.89;4.73;4;5;2;0;47500000;1861;Atyp Ambig;voiced;762
WWF;3.59;3.79;3.33;3;14;7;0;4690000;153;Typ non ambig;voiced;1050
XPTDR;4.24;3.21;3.86;5;11;5;0;25600;1974;Typ non ambig;unvoiced;1146
XX;4.00;2.15;2.95;2;6;2;1;86600000;445;Typ non ambig;unvoiced;939
ZAC;4.63;2.74;2.4;3;3;1;0;8740000;1364;Atyp Ambig;voiced;1000
ZAE;4.75;2.05;2.1;3;5;3;0;257000;8038;Typ ambi;voiced;1065
ZEP;4.24;4.21;2.85;3;3;1;0;905000;423;Atyp Ambig;voiced;823
ZI;4.00;4.05;2.9;2;4;2;2;12000000;1263;Typ ambi;voiced;914
ZUP;4.2;3.58;2.6;3;3;1;0;411000;497;Atyp Ambig;voiced;846
